cms_certification_number,months_removed,months_kept,all_removed
495117,97,2,False
495157,39,60,False
495167,32,55,False
495177,59,40,False
495181,65,22,False
495206,18,78,False
495214,82,2,False
495275,90,9,False
495316,59,34,False
495346,35,1,False
495374,26,61,False
495384,61,38,False
495414,3,0,True
49A022,41,55,False
505354,33,0,True
505422,27,0,True
505437,59,1,False
505454,97,2,False
505476,37,56,False
505523,18,0,True
50A174,74,1,False
50A181,73,2,False
515002,63,36,False
515029,62,13,False
515045,27,0,True
515051,64,2,False
515057,26,73,False
515064,56,43,False
515077,94,2,False
515080,88,2,False
515081,91,2,False
515099,94,2,False
515107,86,7,False
515110,90,9,False
515112,27,0,True
515113,68,1,False
515126,3,0,True
515129,97,2,False
515152,21,78,False
515200,11,1,False
51A009,44,1,False
51A013,70,2,False
51E150,93,3,False
525276,59,31,False
525376,97,2,False
525377,97,2,False
525395,14,58,False
525437,54,45,False
525447,53,46,False
525518,70,2,False
525558,97,2,False
525581,73,26,False
525595,13,83,False
525632,97,2,False
525640,9,0,True
525641,52,47,False
525666,89,10,False
525679,71,1,False
525712,3,90,False
535019,24,24,False
535022,13,83,False
535023,56,22,False
535027,97,2,False
535029,76,11,False
535030,76,14,False
535035,23,1,False
535038,38,61,False
535044,33,0,True
535045,97,2,False
535046,94,2,False
53A002,86,13,False
53A050,89,1,False
53A051,53,25,False
555020,68,1,False
555022,94,2,False
555034,97,2,False
555074,76,17,False
555143,20,79,False
555209,87,9,False
555216,97,2,False
555217,27,6,False
555221,11,1,False
555223,97,2,False
555231,82,2,False
555235,70,2,False
555236,83,13,False
555237,97,2,False
555238,8,13,False
555243,21,0,True
555255,94,2,False
555258,97,2,False
555281,24,72,False
555301,45,51,False
555312,86,1,False
555335,41,1,False
555344,84,15,False
555380,2,94,False
555381,23,73,False
555390,88,2,False
555396,86,10,False
555417,71,22,False
555420,79,2,False
555433,91,2,False
555441,75,24,False
555443,79,20,False
555467,82,2,False
555468,94,2,False
555481,12,0,True
555484,29,7,False
555516,58,2,False
555517,85,2,False
555522,97,2,False
555527,52,17,False
555539,21,0,True
555557,8,85,False
555567,97,2,False
555572,97,2,False
555587,91,2,False
555588,91,2,False
555589,73,23,False
555590,55,2,False
555594,30,0,True
555599,94,2,False
555601,15,0,True
555610,61,35,False
555623,40,17,False
555634,65,16,False
555638,71,16,False
555642,86,4,False
555649,77,13,False
555654,91,2,False
555660,92,1,False
555698,91,2,False
555709,97,2,False
555730,88,2,False
555731,28,38,False
555753,67,11,False
555766,94,2,False
555776,29,28,False
555846,15,84,False
555848,86,13,False
555850,84,15,False
555859,94,2,False
555874,33,0,True
555877,76,17,False
555883,83,16,False
555885,33,66,False
555907,76,2,False
555909,9,0,True
555911,65,4,False
555916,61,2,False
555927,20,1,False
555929,5,1,False
555933,2,1,False
655000,73,2,False
675019,9,60,False
675042,28,71,False
675081,2,97,False
675086,56,7,False
675101,10,86,False
675124,11,85,False
675150,23,58,False
675162,1,95,False
675268,94,2,False
675305,6,90,False
675364,13,83,False
675370,79,20,False
675429,3,0,True
675438,75,24,False
675445,10,83,False
675459,12,72,False
675487,9,0,True
675561,24,75,False
675593,14,85,False
675614,14,85,False
675619,13,86,False
675766,11,82,False
675808,2,97,False
675826,9,90,False
675853,16,80,False
675879,10,86,False
675975,1,95,False
676026,37,59,False
676029,12,81,False
676077,77,4,False
676079,3,96,False
676083,7,89,False
676084,15,0,True
676098,40,59,False
676101,12,87,False
676105,15,84,False
676113,15,78,False
676119,28,68,False
676125,34,62,False
676144,73,26,False
676158,8,85,False
676175,27,48,False
676180,7,89,False
676205,15,3,False
676220,12,81,False
676240,6,90,False
676284,6,0,True
676328,14,82,False
676338,76,14,False
676377,9,0,True
676390,32,64,False
676415,1,92,False
676426,14,76,False
676430,10,74,False
686127,18,0,True
745052,2,1,False
745055,1,2,False
