cms_certification_number,num_chows_lite,num_chows_mcr,lite_dates,mcr_dates,first_lite_date,first_mcr_date,last_lite_date,last_mcr_date,n_common_exact,n_common_within_1m,match_type,discrepancy_flag,delta_first_months,within_0m,within_1m,jaccard_months,only_in_lite_dates,only_in_mcr_dates
045135,1,2,2019-11,2018-09|2020-01,2019-11,2018-09,2019-11,2020-01,0,0,both_yes_different_months,1,14.0,False,False,0.0,2019-11,2018-09|2020-01
045138,2,3,2020-12|2022-01,2015-12|2017-12|2020-12,2020-12,2015-12,2022-01,2020-12,1,1,both_yes_different_months,1,60.0,True,True,0.25,2022-01,2015-12|2017-12
045139,0,1,,2015-12,,2015-12,,2015-12,0,0,only_mcr,1,,False,False,0.0,,2015-12
045140,1,3,2019-11,2015-11|2018-09|2020-01,2019-11,2015-11,2019-11,2020-01,0,0,both_yes_different_months,1,48.0,False,False,0.0,2019-11,2015-11|2018-09|2020-01
045142,1,2,2022-03,2017-12|2022-03,2022-03,2017-12,2022-03,2022-03,1,1,both_yes_different_months,1,51.0,True,True,0.5,,2017-12
045144,1,0,2018-01,,2018-01,,2018-01,,0,0,only_lite,1,,False,False,0.0,2018-01,
045146,2,4,2019-01|2021-04,2016-03|2016-04|2019-01|2021-04,2019-01,2016-03,2021-04,2021-04,2,2,both_yes_different_months,1,34.0,True,True,0.5,,2016-03|2016-04
045147,2,0,2020-07|2022-01,,2020-07,,2022-01,,0,0,only_lite,1,,False,False,0.0,2020-07|2022-01,
045149,1,0,2020-07,,2020-07,,2020-07,,0,0,only_lite,1,,False,False,0.0,2020-07,
045151,2,1,2019-01|2022-01,2019-01,2019-01,2019-01,2022-01,2019-01,1,1,both_yes_different_months,1,0.0,True,True,0.5,2022-01,
045153,1,0,2024-05,,2024-05,,2024-05,,0,0,only_lite,1,,False,False,0.0,2024-05,
045155,2,1,2019-09|2022-01,2019-09,2019-09,2019-09,2022-01,2019-09,1,1,both_yes_different_months,1,0.0,True,True,0.5,2022-01,
045157,2,0,2020-07|2022-01,,2020-07,,2022-01,,0,0,only_lite,1,,False,False,0.0,2020-07|2022-01,
045158,2,3,2019-07|2022-03,2015-12|2017-12|2022-03,2019-07,2015-12,2022-03,2022-03,1,1,both_yes_different_months,1,43.0,True,True,0.25,2019-07,2015-12|2017-12
045168,1,0,2024-12,,2024-12,,2024-12,,0,0,only_lite,1,,False,False,0.0,2024-12,
045170,2,0,2019-03|2022-01,,2019-03,,2022-01,,0,0,only_lite,1,,False,False,0.0,2019-03|2022-01,
045176,1,2,2022-07,2015-12|2017-12,2022-07,2015-12,2022-07,2017-12,0,0,both_yes_different_months,1,79.0,False,False,0.0,2022-07,2015-12|2017-12
045178,0,1,,2023-04,,2023-04,,2023-04,0,0,only_mcr,1,,False,False,0.0,,2023-04
045180,1,1,2019-11,2020-01,2019-11,2020-01,2019-11,2020-01,0,0,both_yes_different_months,1,-2.0,False,False,0.0,2019-11,2020-01
045182,3,0,2020-12|2022-01,,2020-12,,2022-01,,0,0,only_lite,1,,False,False,0.0,2020-12|2022-01,
045184,3,2,2020-07|2021-06|2024-08,2020-07|2021-06,2020-07,2020-07,2024-08,2021-06,2,2,both_yes_different_months,1,0.0,True,True,0.6666666666666666,2024-08,
045187,1,1,2022-01,2019-08,2022-01,2019-08,2022-01,2019-08,0,0,both_yes_different_months,1,29.0,False,False,0.0,2022-01,2019-08
045189,1,2,2022-03,2018-12|2022-03,2022-03,2018-12,2022-03,2022-03,1,1,both_yes_different_months,1,39.0,True,True,0.5,,2018-12
045190,3,2,2022-08|2023-08,2015-12|2022-08,2022-08,2015-12,2023-08,2022-08,1,1,both_yes_different_months,1,80.0,True,True,0.3333333333333333,2023-08,2015-12
045191,1,0,2019-01,,2019-01,,2019-01,,0,0,only_lite,1,,False,False,0.0,2019-01,
045192,1,3,2022-03,2015-12|2017-12|2022-03,2022-03,2015-12,2022-03,2022-03,1,1,both_yes_different_months,1,75.0,True,True,0.3333333333333333,,2015-12|2017-12
045194,3,2,2018-01|2019-06|2022-01,2016-12|2019-06,2018-01,2016-12,2022-01,2019-06,1,1,both_yes_different_months,1,13.0,True,True,0.25,2018-01|2022-01,2016-12
045195,1,1,2019-11,2020-01,2019-11,2020-01,2019-11,2020-01,0,0,both_yes_different_months,1,-2.0,False,False,0.0,2019-11,2020-01
045197,1,3,2022-03,2015-12|2017-12|2022-03,2022-03,2015-12,2022-03,2022-03,1,1,both_yes_different_months,1,75.0,True,True,0.3333333333333333,,2015-12|2017-12
