cms_certification_number,num_chows_lite,num_chows_mcr,lite_dates,mcr_dates,first_lite_date,first_mcr_date,last_lite_date,last_mcr_date,n_common_exact,n_common_within_1m,match_type,discrepancy_flag,delta_first_months,within_0m,within_1m,jaccard_months,only_in_lite_dates,only_in_mcr_dates
515195,2,0,2021-01|2023-01,,2021-01,,2023-01,,0,0,only_lite,1,,False,False,0.0,2021-01|2023-01,
515196,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
515197,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
515199,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525009,1,0,2018-11,,2018-11,,2018-11,,0,0,only_lite,1,,False,False,0.0,2018-11,
525019,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525040,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525061,1,0,2023-01,,2023-01,,2023-01,,0,0,only_lite,1,,False,False,0.0,2023-01,
525064,1,1,2023-01,2023-03,2023-01,2023-03,2023-01,2023-03,0,0,both_yes_different_months,1,-2.0,False,False,0.0,2023-01,2023-03
525069,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525072,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525074,1,1,2021-09,2022-01,2021-09,2022-01,2021-09,2022-01,0,0,both_yes_different_months,1,-4.0,False,False,0.0,2021-09,2022-01
525085,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525088,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525098,3,1,2017-11|2017-12|2023-03,2018-03,2017-11,2018-03,2023-03,2018-03,0,0,both_yes_different_months,1,-4.0,False,False,0.0,2017-11|2017-12|2023-03,2018-03
525108,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525114,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525125,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525132,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525165,1,0,2024-07,,2024-07,,2024-07,,0,0,only_lite,1,,False,False,0.0,2024-07,
525172,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525179,2,1,2018-11|2024-07,2019-10,2018-11,2019-10,2024-07,2019-10,0,0,both_yes_different_months,1,-11.0,False,False,0.0,2018-11|2024-07,2019-10
525209,2,1,2019-03|2019-12,2019-12,2019-03,2019-12,2019-12,2019-12,1,1,both_yes_different_months,1,-9.0,True,True,0.5,2019-03,
525212,1,1,2019-10,2019-12,2019-10,2019-12,2019-10,2019-12,0,0,both_yes_different_months,1,-2.0,False,False,0.0,2019-10,2019-12
525219,1,0,2018-11,,2018-11,,2018-11,,0,0,only_lite,1,,False,False,0.0,2018-11,
525232,2,0,2018-11|2024-07,,2018-11,,2024-07,,0,0,only_lite,1,,False,False,0.0,2018-11|2024-07,
525241,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525242,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525262,1,1,2019-10,2019-10,2019-10,2019-10,2019-10,2019-10,1,1,both_yes_same_months,0,0.0,True,True,1.0,,
525264,2,0,2018-07|2020-12,,2018-07,,2020-12,,0,0,only_lite,1,,False,False,0.0,2018-07|2020-12,
525265,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525266,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525270,1,0,2017-12,,2017-12,,2017-12,,0,0,only_lite,1,,False,False,0.0,2017-12,
525271,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525273,2,2,2019-01|2022-06,2019-01|2022-06,2019-01,2019-01,2022-06,2022-06,2,2,both_yes_same_months,0,0.0,True,True,1.0,,
525274,1,0,2018-11,,2018-11,,2018-11,,0,0,only_lite,1,,False,False,0.0,2018-11,
525276,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525279,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525281,2,0,2018-02,,2018-02,,2018-02,,0,0,only_lite,1,,False,False,0.0,2018-02,
525282,1,0,2017-12,,2017-12,,2017-12,,0,0,only_lite,1,,False,False,0.0,2017-12,
525290,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525292,2,1,2017-06|2017-07,2017-10,2017-06,2017-10,2017-07,2017-10,0,0,both_yes_different_months,1,-4.0,False,False,0.0,2017-06|2017-07,2017-10
525299,1,0,2017-09,,2017-09,,2017-09,,0,0,only_lite,1,,False,False,0.0,2017-09,
525304,1,1,2019-10,2019-12,2019-10,2019-12,2019-10,2019-12,0,0,both_yes_different_months,1,-2.0,False,False,0.0,2019-10,2019-12
525305,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525306,0,1,,2016-12,,2016-12,,2016-12,0,0,only_mcr,1,,False,False,0.0,,2016-12
525307,1,1,2018-12,2018-12,2018-12,2018-12,2018-12,2018-12,1,1,both_yes_same_months,0,0.0,True,True,1.0,,
525309,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525313,1,1,2017-12,2017-12,2017-12,2017-12,2017-12,2017-12,1,1,both_yes_same_months,0,0.0,True,True,1.0,,
525314,2,1,2017-06|2017-07,2017-10,2017-06,2017-10,2017-07,2017-10,0,0,both_yes_different_months,1,-4.0,False,False,0.0,2017-06|2017-07,2017-10
525315,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525316,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525317,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525318,2,0,2017-07|2018-02,,2017-07,,2018-02,,0,0,only_lite,1,,False,False,0.0,2017-07|2018-02,
525319,1,0,2018-08,,2018-08,,2018-08,,0,0,only_lite,1,,False,False,0.0,2018-08,
525321,1,1,2019-10,2019-10,2019-10,2019-10,2019-10,2019-10,1,1,both_yes_same_months,0,0.0,True,True,1.0,,
525324,2,0,2017-06|2017-07,,2017-06,,2017-07,,0,0,only_lite,1,,False,False,0.0,2017-06|2017-07,
525325,1,0,2023-01,,2023-01,,2023-01,,0,0,only_lite,1,,False,False,0.0,2023-01,
525326,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525327,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525328,0,1,,2016-12,,2016-12,,2016-12,0,0,only_mcr,1,,False,False,0.0,,2016-12
525329,0,1,,2016-12,,2016-12,,2016-12,0,0,only_mcr,1,,False,False,0.0,,2016-12
525330,1,0,2023-01,,2023-01,,2023-01,,0,0,only_lite,1,,False,False,0.0,2023-01,
525331,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525332,0,1,,2016-12,,2016-12,,2016-12,0,0,only_mcr,1,,False,False,0.0,,2016-12
525333,1,1,2019-10,2019-10,2019-10,2019-10,2019-10,2019-10,1,1,both_yes_same_months,0,0.0,True,True,1.0,,
525334,0,1,,2016-12,,2016-12,,2016-12,0,0,only_mcr,1,,False,False,0.0,,2016-12
525335,0,1,,2015-12,,2015-12,,2015-12,0,0,only_mcr,1,,False,False,0.0,,2015-12
525336,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525337,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525338,2,1,2019-10|2024-04,2019-10,2019-10,2019-10,2024-04,2019-10,1,1,both_yes_different_months,1,0.0,True,True,0.5,2024-04,
525339,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525342,1,1,2017-04,2017-04,2017-04,2017-04,2017-04,2017-04,1,1,both_yes_same_months,0,0.0,True,True,1.0,,
525343,1,1,2019-10,2019-12,2019-10,2019-12,2019-10,2019-12,0,0,both_yes_different_months,1,-2.0,False,False,0.0,2019-10,2019-12
525346,1,1,2019-10,2019-12,2019-10,2019-12,2019-10,2019-12,0,0,both_yes_different_months,1,-2.0,False,False,0.0,2019-10,2019-12
525348,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525350,1,0,2021-09,,2021-09,,2021-09,,0,0,only_lite,1,,False,False,0.0,2021-09,
525351,1,0,2018-06,,2018-06,,2018-06,,0,0,only_lite,1,,False,False,0.0,2018-06,
525352,1,1,2019-10,2019-12,2019-10,2019-12,2019-10,2019-12,0,0,both_yes_different_months,1,-2.0,False,False,0.0,2019-10,2019-12
525353,1,1,2019-10,2019-12,2019-10,2019-12,2019-10,2019-12,0,0,both_yes_different_months,1,-2.0,False,False,0.0,2019-10,2019-12
525354,1,1,2019-10,2019-12,2019-10,2019-12,2019-10,2019-12,0,0,both_yes_different_months,1,-2.0,False,False,0.0,2019-10,2019-12
525355,0,1,,2016-12,,2016-12,,2016-12,0,0,only_mcr,1,,False,False,0.0,,2016-12
525357,1,1,2019-10,2019-12,2019-10,2019-12,2019-10,2019-12,0,0,both_yes_different_months,1,-2.0,False,False,0.0,2019-10,2019-12
525358,1,1,2017-04,2017-04,2017-04,2017-04,2017-04,2017-04,1,1,both_yes_same_months,0,0.0,True,True,1.0,,
525359,2,1,2017-06|2017-07,2017-10,2017-06,2017-10,2017-07,2017-10,0,0,both_yes_different_months,1,-4.0,False,False,0.0,2017-06|2017-07,2017-10
525360,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525362,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525363,1,1,2019-06,2019-06,2019-06,2019-06,2019-06,2019-06,1,1,both_yes_same_months,0,0.0,True,True,1.0,,
525364,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525365,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525367,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525369,2,1,2017-06|2017-07,2017-10,2017-06,2017-10,2017-07,2017-10,0,0,both_yes_different_months,1,-4.0,False,False,0.0,2017-06|2017-07,2017-10
525370,0,1,,2016-12,,2016-12,,2016-12,0,0,only_mcr,1,,False,False,0.0,,2016-12
525371,1,1,2019-10,2019-10,2019-10,2019-10,2019-10,2019-10,1,1,both_yes_same_months,0,0.0,True,True,1.0,,
525372,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525373,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525374,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525375,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525379,1,0,2024-01,,2024-01,,2024-01,,0,0,only_lite,1,,False,False,0.0,2024-01,
525380,3,1,2017-11|2017-12|2023-03,2018-03,2017-11,2018-03,2023-03,2018-03,0,0,both_yes_different_months,1,-4.0,False,False,0.0,2017-11|2017-12|2023-03,2018-03
525382,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525383,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525385,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525386,2,0,2017-11|2019-02,,2017-11,,2019-02,,0,0,only_lite,1,,False,False,0.0,2017-11|2019-02,
525387,1,0,2024-01,,2024-01,,2024-01,,0,0,only_lite,1,,False,False,0.0,2024-01,
525389,2,0,2018-02,,2018-02,,2018-02,,0,0,only_lite,1,,False,False,0.0,2018-02,
525390,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525391,1,1,2017-04,2017-04,2017-04,2017-04,2017-04,2017-04,1,1,both_yes_same_months,0,0.0,True,True,1.0,,
525396,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525397,2,0,2017-03|2023-09,,2017-03,,2023-09,,0,0,only_lite,1,,False,False,0.0,2017-03|2023-09,
525398,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525402,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525403,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525405,4,0,2018-02|2022-11,,2018-02,,2022-11,,0,0,only_lite,1,,False,False,0.0,2018-02|2022-11,
525406,1,1,2018-12,2018-12,2018-12,2018-12,2018-12,2018-12,1,1,both_yes_same_months,0,0.0,True,True,1.0,,
525407,0,1,,2016-02,,2016-02,,2016-02,0,0,only_mcr,1,,False,False,0.0,,2016-02
525408,2,1,2020-07|2024-04,2020-10,2020-07,2020-10,2024-04,2020-10,0,0,both_yes_different_months,1,-3.0,False,False,0.0,2020-07|2024-04,2020-10
525409,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525410,2,0,2018-02,,2018-02,,2018-02,,0,0,only_lite,1,,False,False,0.0,2018-02,
525411,2,1,2017-06|2017-07,2017-04,2017-06,2017-04,2017-07,2017-04,0,0,both_yes_different_months,1,2.0,False,False,0.0,2017-06|2017-07,2017-04
525412,1,1,2019-10,2019-12,2019-10,2019-12,2019-10,2019-12,0,0,both_yes_different_months,1,-2.0,False,False,0.0,2019-10,2019-12
525413,2,1,2017-06|2017-07,2017-10,2017-06,2017-10,2017-07,2017-10,0,0,both_yes_different_months,1,-4.0,False,False,0.0,2017-06|2017-07,2017-10
525414,2,1,2017-06|2017-07,2017-10,2017-06,2017-10,2017-07,2017-10,0,0,both_yes_different_months,1,-4.0,False,False,0.0,2017-06|2017-07,2017-10
525415,2,0,2017-06|2017-07,,2017-06,,2017-07,,0,0,only_lite,1,,False,False,0.0,2017-06|2017-07,
525416,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525417,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525418,1,1,2018-10,2017-12,2018-10,2017-12,2018-10,2017-12,0,0,both_yes_different_months,1,10.0,False,False,0.0,2018-10,2017-12
525419,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
525420,0,2,,2016-01|2016-02,,2016-01,,2016-02,0,0,only_mcr,1,,False,False,0.0,,2016-01|2016-02
525421,0,1,,2023-03,,2023-03,,2023-03,0,0,only_mcr,1,,False,False,0.0,,2023-03
525422,1,1,2023-01,2023-03,2023-01,2023-03,2023-01,2023-03,0,0,both_yes_different_months,1,-2.0,False,False,0.0,2023-01,2023-03
525424,4,1,2017-03|2018-12|2020-01|2020-12,2020-12,2017-03,2020-12,2020-12,2020-12,1,1,both_yes_different_months,1,-45.0,True,True,0.25,2017-03|2018-12|2020-01,
