cms_certification_number,first_month,last_month,months_observed,months_expected,months_missing,has_gaps
035262,2017-01,2025-03,96,99,3,True
035263,2017-01,2025-03,93,99,6,True
035264,2017-04,2025-03,81,96,15,True
035265,2017-01,2025-03,87,99,12,True
035266,2017-01,2025-03,99,99,0,False
035267,2017-01,2019-03,24,27,3,True
035268,2017-01,2025-03,99,99,0,False
035270,2017-01,2025-03,99,99,0,False
035272,2017-01,2025-03,99,99,0,False
035273,2017-01,2025-03,96,99,3,True
035274,2018-07,2021-03,27,33,6,True
035275,2017-01,2025-03,96,99,3,True
035276,2017-01,2025-03,84,99,15,True
035277,2017-01,2025-03,96,99,3,True
035279,2017-01,2025-03,99,99,0,False
035280,2017-01,2025-03,99,99,0,False
035281,2017-01,2025-03,99,99,0,False
035282,2017-01,2025-03,96,99,3,True
035283,2017-01,2025-03,99,99,0,False
035284,2017-01,2025-03,93,99,6,True
035285,2017-01,2025-03,96,99,3,True
035286,2017-01,2025-03,99,99,0,False
035287,2017-01,2023-12,78,84,6,True
035288,2017-01,2022-06,60,66,6,True
035289,2017-01,2025-03,96,99,3,True
035290,2017-01,2025-03,90,99,9,True
035291,2017-04,2025-03,96,96,0,False
035292,2017-04,2025-03,96,96,0,False
035293,2017-10,2023-03,66,66,0,False
035294,2018-01,2020-03,27,27,0,False
035295,2018-07,2025-03,81,81,0,False
035296,2019-01,2025-03,75,75,0,False
035297,2019-10,2025-03,66,66,0,False
035298,2021-01,2025-03,51,51,0,False
035299,2021-04,2025-03,48,48,0,False
035300,2023-01,2025-03,21,27,6,True
035301,2022-04,2025-03,36,36,0,False
035302,2023-01,2025-03,27,27,0,False
035303,2024-07,2025-03,9,9,0,False
045070,2017-01,2025-03,99,99,0,False
045098,2017-01,2025-03,96,99,3,True
045125,2017-01,2025-03,96,99,3,True
045134,2017-04,2025-03,93,96,3,True
045135,2017-01,2025-03,93,99,6,True
045138,2017-01,2025-03,96,99,3,True
045139,2017-01,2021-03,45,51,6,True
045140,2017-04,2025-03,93,96,3,True
045142,2017-01,2025-03,96,99,3,True
045143,2017-01,2025-03,90,99,9,True
045144,2017-04,2019-09,30,30,0,False
045145,2017-01,2019-06,24,30,6,True
045146,2017-07,2025-03,93,93,0,False
045147,2017-01,2025-03,96,99,3,True
045148,2017-01,2024-06,90,90,0,False
045149,2017-01,2021-09,54,57,3,True
045151,2017-01,2025-03,96,99,3,True
045153,2017-01,2025-03,99,99,0,False
045155,2017-01,2025-03,99,99,0,False
045157,2017-01,2025-03,96,99,3,True
045158,2017-01,2025-03,96,99,3,True
045163,2017-01,2017-06,6,6,0,False
045165,2017-01,2020-03,36,39,3,True
045166,2017-01,2024-12,90,96,6,True
045167,2017-01,2025-03,96,99,3,True
045168,2017-01,2025-03,99,99,0,False
045170,2017-01,2025-03,93,99,6,True
045172,2017-01,2025-03,96,99,3,True
045173,2017-01,2025-03,99,99,0,False
045176,2017-01,2025-03,96,99,3,True
045177,2017-01,2025-03,81,99,18,True
045178,2017-01,2025-03,99,99,0,False
045180,2017-04,2025-03,87,96,9,True
045181,2017-07,2020-03,33,33,0,False
045182,2017-01,2025-03,96,99,3,True
045183,2017-01,2025-03,96,99,3,True
045184,2017-01,2025-03,96,99,3,True
045187,2017-01,2025-03,96,99,3,True
045189,2017-01,2025-03,96,99,3,True
045190,2017-01,2025-03,93,99,6,True
045191,2017-01,2025-03,99,99,0,False
045192,2017-01,2025-03,96,99,3,True
045194,2017-01,2025-03,99,99,0,False
045195,2017-01,2025-03,96,99,3,True
045196,2017-01,2025-03,99,99,0,False
045197,2017-01,2025-03,96,99,3,True
045198,2017-10,2019-03,18,18,0,False
045199,2017-01,2025-03,96,99,3,True
045201,2017-01,2025-03,99,99,0,False
045202,2017-01,2025-03,99,99,0,False
045203,2017-04,2025-03,93,96,3,True
045207,2017-01,2025-03,96,99,3,True
045208,2017-01,2025-03,99,99,0,False
045209,2017-01,2025-03,99,99,0,False
045211,2017-01,2025-03,96,99,3,True
045212,2017-04,2024-06,87,87,0,False
045214,2017-01,2025-03,93,99,6,True
045216,2017-01,2025-03,99,99,0,False
045217,2017-01,2025-03,96,99,3,True
045218,2017-01,2025-03,99,99,0,False
045219,2017-01,2025-03,96,99,3,True
045220,2017-01,2025-03,96,99,3,True
045221,2017-01,2025-03,90,99,9,True
045222,2017-04,2025-03,90,96,6,True
045227,2017-01,2025-03,96,99,3,True
045228,2017-04,2025-03,60,96,36,True
045229,2017-04,2019-03,24,24,0,False
045232,2017-04,2025-03,93,96,3,True
045235,2017-01,2017-09,9,9,0,False
045236,2017-01,2025-03,96,99,3,True
045239,2017-01,2025-03,96,99,3,True
045241,2017-01,2025-03,99,99,0,False
045242,2017-01,2025-03,93,99,6,True
045243,2017-01,2025-03,96,99,3,True
045244,2017-01,2025-03,99,99,0,False
045245,2017-01,2025-03,96,99,3,True
045246,2017-01,2025-03,99,99,0,False
045247,2017-01,2025-03,99,99,0,False
045248,2017-01,2025-03,99,99,0,False
045250,2017-01,2025-03,99,99,0,False
045254,2017-01,2025-03,99,99,0,False
045256,2017-01,2025-03,96,99,3,True
045259,2017-04,2025-03,96,96,0,False
045266,2017-01,2025-03,99,99,0,False
045267,2017-01,2025-03,96,99,3,True
045268,2017-01,2025-03,99,99,0,False
045269,2017-01,2025-03,96,99,3,True
045270,2017-01,2025-03,96,99,3,True
045271,2017-01,2025-03,93,99,6,True
045275,2017-01,2025-03,93,99,6,True
045277,2017-07,2025-03,90,93,3,True
045280,2017-01,2025-03,99,99,0,False
045284,2017-01,2025-03,96,99,3,True
045287,2017-01,2025-03,96,99,3,True
045288,2017-01,2025-03,72,99,27,True
045289,2017-01,2025-03,99,99,0,False
045290,2017-01,2025-03,99,99,0,False
045295,2017-01,2025-03,84,99,15,True
045297,2017-01,2025-03,99,99,0,False
045300,2017-01,2025-03,93,99,6,True
045301,2017-01,2025-03,99,99,0,False
045302,2017-01,2025-03,99,99,0,False
045303,2017-01,2025-03,96,99,3,True
045304,2017-01,2025-03,99,99,0,False
045305,2017-01,2025-03,96,99,3,True
045306,2017-01,2025-03,99,99,0,False
045307,2017-01,2018-03,12,15,3,True
045308,2017-01,2025-03,99,99,0,False
045311,2017-01,2020-03,36,39,3,True
045312,2017-01,2021-12,51,60,9,True
045313,2017-01,2025-03,99,99,0,False
045314,2017-01,2025-03,51,99,48,True
045315,2017-01,2025-03,99,99,0,False
045317,2017-01,2025-03,99,99,0,False
045318,2017-01,2025-03,99,99,0,False
045321,2017-01,2020-03,36,39,3,True
045322,2017-01,2025-03,99,99,0,False
045323,2017-01,2025-03,99,99,0,False
045326,2017-01,2025-03,99,99,0,False
045327,2017-01,2025-03,99,99,0,False
045332,2017-01,2020-03,36,39,3,True
045334,2017-04,2025-03,93,96,3,True
045337,2017-01,2025-03,99,99,0,False
045338,2017-01,2025-03,99,99,0,False
045339,2017-01,2025-03,99,99,0,False
045340,2017-01,2025-03,99,99,0,False
045341,2017-07,2025-03,75,93,18,True
045342,2017-01,2025-03,99,99,0,False
045343,2017-01,2025-03,99,99,0,False
045345,2017-04,2025-03,96,96,0,False
045346,2017-01,2025-03,99,99,0,False
045348,2017-01,2017-12,12,12,0,False
045350,2017-01,2025-03,96,99,3,True
045351,2017-01,2025-03,99,99,0,False
045352,2017-01,2025-03,99,99,0,False
045353,2017-01,2025-03,96,99,3,True
045354,2017-10,2025-03,81,90,9,True
045356,2017-01,2025-03,96,99,3,True
045357,2017-01,2025-03,96,99,3,True
045358,2017-01,2025-03,96,99,3,True
045359,2017-04,2025-03,93,96,3,True
045361,2017-01,2025-03,99,99,0,False
045363,2017-01,2025-03,96,99,3,True
045364,2017-01,2025-03,99,99,0,False
045365,2017-01,2025-03,99,99,0,False
045366,2017-01,2025-03,99,99,0,False
045367,2017-01,2025-03,99,99,0,False
045369,2017-01,2025-03,99,99,0,False
045370,2017-01,2025-03,96,99,3,True
045371,2017-01,2025-03,99,99,0,False
045372,2017-04,2025-03,96,96,0,False
045373,2017-01,2025-03,99,99,0,False
045374,2017-01,2025-03,99,99,0,False
045376,2017-01,2025-03,99,99,0,False
045377,2017-01,2025-03,96,99,3,True
045378,2017-01,2025-03,93,99,6,True
045379,2017-01,2025-03,81,99,18,True
045380,2017-01,2025-03,99,99,0,False
045381,2017-01,2025-03,99,99,0,False
045382,2017-04,2019-09,30,30,0,False
045383,2017-10,2025-03,66,90,24,True
045384,2017-01,2025-03,93,99,6,True
045385,2017-04,2025-03,96,96,0,False
045386,2017-01,2025-03,93,99,6,True
045387,2017-01,2025-03,99,99,0,False
045390,2017-01,2025-03,99,99,0,False
045391,2017-01,2025-03,99,99,0,False
045392,2017-01,2025-03,99,99,0,False
045393,2017-01,2025-03,99,99,0,False
045394,2017-01,2025-03,99,99,0,False
045396,2017-01,2025-03,96,99,3,True
045398,2017-01,2025-03,99,99,0,False
045401,2017-04,2025-03,72,96,24,True
045402,2017-01,2025-03,99,99,0,False
045403,2017-01,2025-03,99,99,0,False
045404,2017-01,2025-03,99,99,0,False
045406,2017-01,2018-06,18,18,0,False
045407,2017-01,2025-03,99,99,0,False
045408,2017-01,2025-03,99,99,0,False
045409,2017-01,2025-03,99,99,0,False
045410,2017-01,2025-03,99,99,0,False
045411,2017-01,2025-03,96,99,3,True
045412,2017-01,2025-03,99,99,0,False
045413,2017-07,2025-03,87,93,6,True
045414,2017-01,2025-03,99,99,0,False
045415,2017-01,2025-03,87,99,12,True
045416,2017-01,2025-03,99,99,0,False
045417,2017-01,2025-03,96,99,3,True
045418,2017-01,2025-03,93,99,6,True
045419,2017-01,2025-03,99,99,0,False
045421,2017-01,2025-03,96,99,3,True
045422,2017-01,2025-03,99,99,0,False
045424,2017-01,2025-03,96,99,3,True
