cms_certification_number,from_group,to_group,from_start,from_end,to_start,to_end,from_level,to_level,turnover_pct,overlap_pct,method,bucket_code,bucket_label,surname_keep_pct,surname_override,inconclusive,is_chow
045346,1,2,2005-01-01,2005-01-01,2008-08-08,2008-08-08,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045346,2,3,2008-08-08,2008-08-08,2012-12-01,2012-12-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045346,3,4,2012-12-01,2012-12-01,2016-12-31,2016-12-31,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
045346,4,5,2016-12-31,2016-12-31,2018-09-01,2018-09-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045346,5,6,2018-09-01,2018-09-01,2022-06-01,2022-06-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045350,1,2,2015-11-03,2015-11-03,2015-11-04,2015-11-04,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045350,2,3,2015-11-04,2015-11-04,2015-11-06,2015-11-06,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045350,3,4,2015-11-06,2015-11-06,2022-07-01,2022-07-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045352,1,2,2013-12-03,2013-12-03,2014-04-01,2014-04-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
045353,1,2,2011-08-01,2011-08-01,2020-10-01,2020-10-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045353,2,3,2020-10-01,2020-10-01,2022-01-01,2022-01-01,indirect,indirect,85.7,14.3,0,2,80–90,14.3,False,False,True
045356,1,2,2003-05-01,2003-05-01,2018-06-01,2018-06-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045357,1,2,2015-11-03,2015-11-03,2015-11-04,2015-11-04,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045357,2,3,2015-11-04,2015-11-04,2015-11-05,2015-11-05,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045357,3,4,2015-11-05,2015-11-05,2022-03-31,2022-03-31,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045358,1,2,2015-06-10,2015-06-10,2019-01-01,2019-01-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045358,2,3,2019-01-01,2019-01-01,2022-01-01,2022-01-01,indirect,indirect,66.7,33.3,0,4,60–70,33.3,False,False,True
045359,1,2,2016-04-01,2016-04-01,2019-01-23,2019-01-23,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045359,2,3,2019-01-23,2019-01-23,2021-04-05,2023-01-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045361,1,2,2015-07-01,2015-07-01,2023-01-16,2023-01-16,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045363,1,2,2003-12-31,2003-12-31,2006-12-31,2006-12-31,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045366,1,2,2001-06-18,2001-06-18,2008-01-01,2008-01-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
045366,2,3,2008-01-01,2008-01-01,2018-11-01,2018-11-01,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045367,1,2,2004-06-02,2004-06-02,2008-01-01,2008-01-01,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045370,1,2,2002-07-18,2002-07-18,2020-09-15,2020-09-15,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045371,1,2,2004-06-02,2004-06-02,2008-01-01,2008-01-01,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045372,1,2,2015-12-01,2015-12-01,2019-01-23,2019-01-23,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045372,2,3,2019-01-23,2019-01-23,2021-04-05,2021-04-05,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045372,3,4,2021-04-05,2021-04-05,2023-01-01,2023-01-01,indirect,indirect,54.4,45.6,0,5,50–60,45.6,False,False,True
045377,1,2,2010-11-01,2010-11-01,2019-02-10,2019-02-10,direct,indirect,66.7,33.3,0,4,60–70,33.3,False,False,True
045377,2,3,2019-02-10,2019-02-10,2022-01-01,2022-01-01,indirect,indirect,80.0,20.0,0,2,80–90,20.0,False,False,True
045378,1,2,2014-05-27,2014-05-27,2014-05-28,2014-05-28,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045378,2,3,2014-05-28,2014-05-28,2018-06-01,2018-06-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045380,1,2,2002-02-20,2002-02-20,2008-01-01,2013-01-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
045382,1,2,2011-01-01,2011-01-01,2016-12-31,2016-12-31,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
045382,2,3,2016-12-31,2016-12-31,2018-01-01,2018-01-01,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045383,1,2,2011-10-13,2011-10-13,2012-10-01,2012-10-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045383,2,3,2012-10-01,2012-10-01,2021-04-01,2021-04-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045383,3,4,2021-04-01,2021-04-01,2022-06-01,2022-06-01,indirect,indirect,90.9,9.1,0,1,90–100,9.1,False,False,True
045385,1,2,2016-04-01,2016-04-01,2019-01-23,2019-01-23,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045385,2,3,2019-01-23,2019-01-23,2021-04-05,2023-01-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045386,1,2,2001-05-10,2001-05-10,2011-05-10,2011-05-10,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045386,2,3,2011-05-10,2011-05-10,2022-01-14,2022-01-14,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045386,3,4,2022-01-14,2022-01-14,2022-06-14,2022-06-14,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045390,1,2,2017-11-07,2017-11-07,2018-01-01,2018-01-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045390,2,3,2018-01-01,2018-01-01,2022-01-14,2022-01-14,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045390,3,4,2022-01-14,2022-01-14,2022-06-14,2022-06-14,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045390,4,5,2022-06-14,2022-06-14,2022-08-15,2022-08-15,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045391,1,2,2017-11-13,2017-11-13,2022-06-14,2022-06-14,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045391,2,3,2022-06-14,2022-06-14,2022-08-15,2022-08-15,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045391,3,4,2022-08-15,2022-08-15,2023-01-01,2023-01-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045393,1,2,2017-11-07,2017-11-07,2022-01-14,2022-01-14,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045393,2,3,2022-01-14,2022-01-14,2022-06-14,2022-06-14,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045393,3,4,2022-06-14,2022-06-14,2022-08-15,2022-08-15,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045396,1,2,2007-01-22,2007-01-22,2016-04-01,2016-04-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
045396,2,3,2016-04-01,2016-04-01,2022-01-01,2022-01-03,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045398,1,2,2004-06-02,2004-06-02,2008-01-01,2008-01-01,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045401,1,2,2004-02-01,2004-02-01,2012-12-13,2012-12-13,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045402,1,2,2004-11-01,2004-11-01,2020-09-15,2024-12-12,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045403,1,2,2011-09-01,2011-09-01,2018-07-25,2018-07-25,indirect,direct,100.0,0.0,0,1,90–100,49.0,False,False,True
045404,1,2,2018-12-28,2018-12-28,2022-06-01,2022-06-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045406,1,2,2014-02-12,2014-02-12,2014-04-01,2014-04-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
045407,1,2,2003-07-31,2003-07-31,2008-01-01,2008-01-01,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045410,1,2,2011-04-07,2011-04-07,2011-07-01,2024-12-12,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045411,1,2,2005-02-11,2005-02-11,2006-01-01,2006-01-01,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045411,2,3,2006-01-01,2006-01-01,2008-01-01,2008-01-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045411,3,4,2008-01-01,2008-01-01,2011-12-31,2011-12-31,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045411,4,5,2011-12-31,2011-12-31,2022-01-01,2022-01-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045411,5,6,2022-01-01,2022-01-01,2022-01-03,2022-01-03,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045412,1,2,2017-11-07,2017-11-07,2022-08-15,2022-08-15,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045416,1,2,2004-04-16,2004-04-16,2008-01-01,2008-01-01,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045418,1,2,1991-01-15,1991-01-15,2022-06-01,2022-06-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045418,2,3,2022-06-01,2022-06-01,2024-08-01,2024-08-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045421,1,2,2008-06-24,2008-06-24,2018-07-01,2018-07-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045428,1,2,2008-07-01,2008-07-01,2019-04-09,2019-04-09,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045430,1,2,1993-08-01,1993-08-01,2022-03-31,2022-03-31,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045431,1,2,2010-01-01,2010-01-01,2018-02-01,2018-02-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045431,2,3,2018-02-01,2018-02-01,2021-07-01,2021-07-01,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045432,1,2,2011-07-01,2011-07-01,2017-06-07,2017-06-07,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045432,2,3,2017-06-07,2017-06-07,2021-07-01,2021-07-01,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
